18,228,125,10521,51,-317,-126
18,228,125,10521,31,-3,-6
18,228,125,10521,-126,165,200
18,228,125,10521,120,-103,-107
18,228,125,10521,98,-9,20
29,52,35,10521,44,-205,-85
29,52,35,10521,45,47,-24
29,52,35,10521,-6,214,181
29,52,35,10521,-39,-178,-77
29,52,35,10521,61,-94,-34
13,78,125,10521,145,-205,-122
13,78,125,10521,86,47,-12
13,78,125,10521,12,214,204
13,78,125,10521,174,-178,-138
13,78,125,10521,140,-94,-36
15,175,75,10521,14,-205,-110
15,175,75,10521,-3,47,-21
15,175,75,10521,13,214,218
15,175,75,10521,156,-178,-119
15,175,75,10521,180,-94,-54
14,146,35,10521,39,-317,-160
14,146,35,10521,100,-3,-2
14,146,35,10521,-211,165,199
14,146,35,10521,190,-103,-91
14,146,35,10521,21,-9,28
10,-70,125,10521,28,-317,-134
10,-70,125,10521,2,-3,-53
10,-70,125,10521,-169,165,188
10,-70,125,10521,136,-103,-78
10,-70,125,10521,-42,-9,40
15,169,125,10521,57,-317,-95
15,169,125,10521,10,-3,-49
15,169,125,10521,-51,165,228
15,169,125,10521,61,-103,-86
15,169,125,10521,141,-9,-7
12,-73,125,10521,110,-317,-107
12,-73,125,10521,120,-3,-20
12,-73,125,10521,-192,165,234
12,-73,125,10521,-162,-103,-57
12,-73,125,10521,-73,-9,29
7,103,125,10521,64,-317,-110
7,103,125,10521,85,-3,-50
7,103,125,10521,-239,165,182
7,103,125,10521,-86,-103,-112
7,103,125,10521,63,-9,-17
5,84,20,0,52,-317,-119
5,84,20,0,-19,-3,-19
5,84,20,0,-124,165,213
5,84,20,0,34,-103,-96
5,84,20,0,68,-9,-7
