18,228,125,10521,24,128,210
18,228,125,10521,30,55,68
18,228,125,10521,-206,-6,14
18,228,125,10521,-56,50,46
18,228,125,10521,6,59,33
29,52,35,10521,46,92,13
29,52,35,10521,28,120,71
29,52,35,10521,-45,-59,91
29,52,35,10521,-11,86,16
29,52,35,10521,11,39,-190
13,78,125,10521,118,92,125
13,78,125,10521,91,120,118
13,78,125,10521,6,-59,49
13,78,125,10521,165,86,92
13,78,125,10521,126,39,39
15,175,75,10521,-1,92,146
15,175,75,10521,76,120,109
15,175,75,10521,-15,-59,13
15,175,75,10521,166,86,66
15,175,75,10521,97,39,65
14,146,35,10521,46,128,91
14,146,35,10521,78,55,8
14,146,35,10521,-149,-6,-50
14,146,35,10521,165,50,144
14,146,35,10521,55,59,152
10,-70,125,10521,36,128,197
10,-70,125,10521,17,55,-8
10,-70,125,10521,-145,-6,-35
10,-70,125,10521,112,50,50
10,-70,125,10521,-42,59,129
15,169,125,10521,76,128,100
15,169,125,10521,2,55,74
15,169,125,10521,-34,-6,147
15,169,125,10521,92,50,44
15,169,125,10521,126,59,58
12,-73,125,10521,151,128,18
12,-73,125,10521,124,55,127
12,-73,125,10521,-125,-6,61
12,-73,125,10521,-140,50,86
12,-73,125,10521,-77,59,125
7,103,125,10521,5,128,60
7,103,125,10521,24,55,-9
7,103,125,10521,-205,-6,-31
7,103,125,10521,-71,50,-14
7,103,125,10521,-28,59,5
5,84,20,0,26,128,122
5,84,20,0,5,55,103
5,84,20,0,-103,-6,-6
5,84,20,0,36,50,52
5,84,20,0,14,59,88
