18,228,125,10521,83,59,69
18,228,125,10521,-9,-26,37
18,228,125,10521,-23,-102,32
18,228,125,10521,26,145,202
18,228,125,10521,228,-4,3
29,52,35,10521,74,102,52
29,52,35,10521,38,-30,-50
29,52,35,10521,96,-110,-169
29,52,35,10521,249,75,118
29,52,35,10521,52,20,49
13,78,125,10521,103,102,75
13,78,125,10521,107,-30,-12
13,78,125,10521,156,-110,-13
13,78,125,10521,158,75,90
13,78,125,10521,78,20,81
15,175,75,10521,108,102,62
15,175,75,10521,42,-30,-32
15,175,75,10521,129,-110,-8
15,175,75,10521,125,75,75
15,175,75,10521,175,20,83
14,146,35,10521,51,59,-26
14,146,35,10521,-81,-26,-128
14,146,35,10521,8,-102,-131
14,146,35,10521,240,145,153
14,146,35,10521,146,-4,145
10,-70,125,10521,79,59,-3
10,-70,125,10521,38,-26,-29
10,-70,125,10521,-30,-102,-55
10,-70,125,10521,130,145,223
10,-70,125,10521,-70,-4,110
15,169,125,10521,-28,59,52
15,169,125,10521,-57,-26,-60
15,169,125,10521,-43,-102,-74
15,169,125,10521,151,145,38
15,169,125,10521,169,-4,189
12,-73,125,10521,70,59,17
12,-73,125,10521,72,-26,76
12,-73,125,10521,58,-102,53
12,-73,125,10521,-107,145,17
12,-73,125,10521,-73,-4,120
7,103,125,10521,3,59,-32
7,103,125,10521,4,-26,-59
7,103,125,10521,-128,-102,-58
7,103,125,10521,-28,145,4
7,103,125,10521,103,-4,-15
5,84,20,0,81,59,49
5,84,20,0,10,-26,32
5,84,20,0,-73,-102,-115
5,84,20,0,131,145,119
5,84,20,0,84,-4,45
