18,228,125,10521,41,46,71
18,228,125,10521,40,-113,-81
18,228,125,10521,-203,-43,90
18,228,125,10521,-41,46,27
18,228,125,10521,35,-38,-25
29,52,35,10521,43,77,10
29,52,35,10521,21,-126,-151
29,52,35,10521,-36,-33,100
29,52,35,10521,-11,87,-69
29,52,35,10521,2,-16,111
13,78,125,10521,130,77,49
13,78,125,10521,82,-126,-80
13,78,125,10521,-4,-33,98
13,78,125,10521,174,87,-1
13,78,125,10521,131,-16,88
15,175,75,10521,0,77,47
15,175,75,10521,46,-126,-83
15,175,75,10521,-29,-33,94
15,175,75,10521,138,87,-1
15,175,75,10521,146,-16,66
14,146,35,10521,37,46,29
14,146,35,10521,106,-113,-94
14,146,35,10521,-179,-43,90
14,146,35,10521,127,46,-4
14,146,35,10521,59,-38,117
10,-70,125,10521,30,46,7
10,-70,125,10521,2,-113,-116
10,-70,125,10521,-158,-43,24
10,-70,125,10521,129,46,18
10,-70,125,10521,-37,-38,54
15,169,125,10521,48,46,-19
15,169,125,10521,12,-113,-66
15,169,125,10521,-52,-43,101
15,169,125,10521,79,46,-37
15,169,125,10521,127,-38,133
12,-73,125,10521,112,46,-51
12,-73,125,10521,114,-113,-15
12,-73,125,10521,-129,-43,120
12,-73,125,10521,-154,46,-33
12,-73,125,10521,-65,-38,145
7,103,125,10521,23,46,6
7,103,125,10521,55,-113,-102
7,103,125,10521,-176,-43,52
7,103,125,10521,-79,46,-46
7,103,125,10521,16,-38,50
5,84,20,0,15,46,8
5,84,20,0,7,-113,-83
5,84,20,0,-119,-43,113
5,84,20,0,34,46,-15
5,84,20,0,25,-38,89
